,few_shots,rag,answers
64,Entailment,Entailment,Entailment
65,Entailment,Entailment,Entailment
66,Entailment,Entailment,Entailment
67,Contradicted,Contradicted,Entailment
68,Contradicted,Contradicted,Contradiction
69,Entailment,Entailment,Entailment
70,Insufficient,Entailment,Entailment
71,Entailment,Entailment,Entailment
72,Entailment,Entailment,Entailment
73,Entailment,Entailment,Entailment
74,Contradicted,Contradicted,Contradiction
75,Contradicted,Contradicted,Contradiction
76,Entailment,Entailment,Entailment
77,Entailment,Entailment,Entailment
78,Entailment,Entailment,Entailment
79,Entailment,Entailment,Entailment
80,Entailment,Entailment,Entailment
81,Entailment,Entailment,Entailment
82,Entailment,Entailment,Entailment
83,Entailment,Entailment,Entailment
84,Insufficient,Entailment,Entailment
85,Entailment,Entailment,Entailment
86,Entailment,Entailment,Entailment
87,Entailment,Entailment,Entailment
88,Entailment,Entailment,Entailment
89,Contradicted,Contradicted,Contradiction
90,Entailment,Entailment,Entailment
91,Entailment,Entailment,Entailment
92,Entailment,Entailment,Entailment
93,Contradicted,Contradiction,Contradiction
94,Contradicted,Entailment,Contradiction
95,Entailment,Entailment,Entailment
96,Entailment,Entailment,Entailment
97,Insufficient,Entailment,Entailment
98,Incomplete,Insufficient,Entailment
99,Entailment,Entailment,Entailment
100,Contradicted,Contradicted,Contradiction
101,Contradicted,Contradicted,Contradiction
102,Contradicted,Contradicted,Contradiction
103,Entailment,Entailment,Entailment
104,Entailment,Entailment,Entailment
105,Entailment,Entailment,Entailment
106,Entailment,Entailment,Entailment
107,Entailment,Entailment,Entailment
108,Entailment,Contradicted,Entailment
109,Insufficient,Entailment,Entailment
110,Entailment,Entailment,Entailment
111,Entailment,Entailment,Entailment
112,Entailment,Entailment,Entailment
113,Entailment,Entailment,Entailment
114,Entailment,Undetermined,Entailment
115,Entailment,Entailment,Entailment
116,Entailment,Entailment,Entailment
117,Entailment,Entailment,Entailment
118,Entailment,Entailment,Entailment
119,Entailment,Entailment,Entailment
120,Entailment,Entailment,Entailment
121,Entailment,Entailment,Entailment
122,Entailment,Entailment,Entailment
123,Entailment,Entailment,Entailment
124,Entailment,Entailment,Entailment
125,Entailment,Entailment,Entailment
126,Entailment,Entailment,Entailment
127,Entailment,Entailment,Entailment
128,Entailment,Entailment,Entailment
129,Contradicted,Contradicted,Entailment
130,Entailment,Entailment,Entailment
131,Entailment,Entailment,Entailment
132,Entailment,Entailment,Entailment
133,Entailment,Entailment,Entailment
134,Entailment,Neutral,Entailment
135,Entailment,Entailment,Entailment
136,Entailment,Entailment,Entailment
137,Contradicted,Contradicted,Contradiction
138,Contradicted,Contradicted,Contradiction
139,Entailment,Entailment,Entailment
140,Entailment,Entailment,Entailment
141,Contradicted,Contradicted,Entailment
142,Entailment,Entailment,Entailment
143,Entailment,Entailment,Entailment
144,Entailment,Entailment,Entailment
145,Entailment,Entailment,Entailment
146,Entailment,Entailment,Entailment
147,Entailment,Entailment,Entailment
148,Entailment,Entailment,Entailment
149,Entailment,Entailment,Entailment
150,Entailment,Entailment,Entailment
151,Contradicted,Contradicted,Contradiction
152,Contradicted,Contradicted,Contradiction
153,Contradicted,Contradicted,Contradiction
154,Entailment,Entailment,Entailment
155,Entailment,Entailment,Entailment
156,Insufficient,Entailment,Entailment
157,Entailment,Entailment,Entailment
158,Entailment,Insufficient,Entailment
159,Insufficient,Entailment,Entailment
160,Insufficient,Entailment,Entailment
161,Insufficient,Entailment,Entailment
162,Entailment,Entailment,Entailment
163,Contradicted,Contradicted,Entailment
164,Entailment,Contradicted,Entailment
165,Contradicted,Contradicted,Entailment
166,Entailment,Entailment,Entailment
167,Insufficient,Entailment,Entailment
168,Entailment,Entailment,Entailment
169,Entailment,Entailment,Entailment
170,Entailment,Entailment,Entailment
171,Entailment,Entailment,Entailment
172,Insufficient,Entailment,Entailment
173,Insufficient,Insufficient,Entailment
174,Entailment,Entailment,Entailment
175,Entailment,Entailment,Entailment
176,Entailment,Entailment,Entailment
177,Entailment,Entailment,Entailment
178,Entailment,Entailment,Entailment
179,Entailment,Entailment,Entailment
180,Entailment,Entailment,Entailment
181,Entailment,Entailment,Entailment
182,Insufficient,Entailment,Entailment
183,Entailment,Entailment,Entailment
184,Insufficient,Inconclusive,Entailment
185,Insufficient,Insufficient,Entailment
186,Entailment,Entailment,Entailment
187,Contradicted,Contradicted,Contradiction
188,Contradicted,Contradicted,Contradiction
189,Contradicted,Contradicted,Contradiction
190,Contradicted,Contradicted,Contradiction
191,Contradicted,Contradicted,Contradiction
192,Entailment,Entailment,Entailment
193,Entailment,Entailment,Entailment
194,Undetermined,Entailment,Entailment
195,Entailment,Entailment,Entailment
196,Entailment,Entailment,Entailment
197,Entailment,Entailment,Entailment
198,Entailment,Entailment,Entailment
199,Entailment,Entailment,Entailment
